Updated_Date,Valve_Type,Valve_Size,Valve_Useage,Cover,Lid_Type,Valve_Cond,Valve_Stat,Valve_Position,Turns,Depth_Nut,Location,Comment,Rotation,POINT_X,POINT_Y
11/22/2011,GV,6.00000000000,Inline,Asphalt,926,Good,Working,Open,20.00000000000,30.00000000000,1454 se althaus dr,,0,7721093.88561000000,678878.54328400000
11/22/2011,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.00000000000,26.00000000000,1454 se althaus dr,,90,7721095.07524000000,678879.60824300000
8/13/2014,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,35.00000000000,se althaus dr end of main,,-55,7721209.02909000000,679151.47909000000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,29.00000000000,topaz ct,,35,7720841.77851000000,678663.86851700000
8/13/2014,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,33.00000000000,se topaz ct,,-55,7720853.38019000000,678681.46001700000
8/13/2014,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,24.00000000000,24.00000000000,se kibling st,city hall parking lot,90,7719095.26724000000,688841.87801600000
8/13/2014,GV,0.00000000000,Fire,Asphalt,926,,,,0.00000000000,0.00000000000,se kibling st,"not tested because of alarm, city hall parking lot",0,7719096.11861000000,688836.82979800000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,926,Good,Working,Open,37.00000000000,45.00000000000,southside of e columbia river hwy,,0,7719097.67110000000,688860.94523500000
8/13/2014,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,14.00000000000,strebin rd  sweetbrier ln,"blow off, end of sweetbriar line",90,7719869.22369000000,676399.68735000000
11/23/2011,GV,12.00000000000,Inline,Asphalt,910,Good,Working,Closed,39.00000000000,31.00000000000,strebin  and se pioneer,imported from gps,0,7720131.36654000000,676384.58436100000
11/23/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,18.00000000000,strebin an se pioneer,imported from gps,90,7720134.17887000000,676386.22215300000
8/13/2014,GV,12.00000000000,Inline,Gravel,910,Good,Working,Open,38.00000000000,15.00000000000,strebin rd by booster,"imported from gps, butterfly or gate valve?",45,7720286.07588000000,676374.50728200000
11/23/2011,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,9.00000000000,27.00000000000,1423 se althaus dr,,0,7720980.60959000000,678876.10332900000
11/23/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,27.00000000000,se althaus dr,,0,7721094.30425000000,678940.86960300000
12/1/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,35.00000000000,4387 se sweetbrier ln,,0,7719945.99618000000,677812.61923500000
12/1/2011,BTRFLY,12.00000000000,Inline,Asphalt,926,Good,Working,Open,37.00000000000,42.00000000000,se sweetbrier ln /se 42nd st intersection,NEED TO FIELD VERIFY TURNS,320,7720145.40884000000,678101.08913100000
12/1/2011,GV,6.00000000000,Inline,Asphalt,926,Good,Working,Open,20.00000000000,33.00000000000,se sweetbrier ln /se 42nd  st intersection,NEED TO FIELD VERIFY TURNS,45,7720149.24577000000,678100.79090300000
12/1/2011,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.00000000000,34.00000000000,se sweetbrier ln /se 42nd st intersection,NEED TO FIELD VERIFY TURNS,45,7720143.82452000000,678106.56254500000
12/1/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,28.00000000000,se sweetbrier court,,130,7720166.49278000000,678080.57440800000
11/28/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,34.00000000000,730 se 42nd st,,90,7719738.20591000000,678202.84319200000
12/1/2011,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,28.00000000000,se 42nd circle,,0,7719065.87458000000,678204.59811000000
12/1/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,23.00000000000,536 se 42nd circle,,90,7719180.72901000000,678204.70309700000
12/1/2011,GV,6.00000000000,Inline,Asphalt,926,Good,Working,Open,20.00000000000,24.00000000000,se 43 dr/se 42nd circle,,0,7719576.78629000000,678211.26509100000
12/1/2011,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.00000000000,22.00000000000,se 43 dr/se 42nd circle intersection valves,,90,7719579.49199000000,678209.23917700000
12/1/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,25.00000000000,se 43rd place,,290,7719574.96313000000,678004.45054400000
8/13/2014,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,20.00000000000,se 43rd place,,25,7719721.78173000000,677950.91653100000
8/13/2014,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,28.00000000000,se sweetbrier ct,,108,7720186.13054000000,677918.66593900000
8/13/2014,GV,6.00000000000,Inline,Asphalt,926,Good,Working,Open,20.00000000000,24.00000000000,se 43rd dr/se 43rd place,,25,7719552.13509000000,678015.17493200000
8/13/2014,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.00000000000,17.00000000000,se 43rd dr/se 43rd place,,295,7719548.34671000000,678014.14934400000
12/1/2011,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,20.00000000000,se 43rd circle,,0,7719071.50252000000,677935.65770300000
8/13/2014,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,56.00000000000,se walter circle,,120,7720507.47242000000,677501.42300700000
12/1/2011,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,19.00000000000,31.00000000000,se sweetbrier rd,,120,7720150.36716000000,677750.23747000000
8/13/2014,GV,6.00000000000,Hydrant,Concrete,926,Good,Working,Open,19.00000000000,27.00000000000,1010 se sweetbrier rd,,85,7720467.01745000000,677365.11094400000
12/1/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,29.00000000000,546 se 43rd circle,,90,7719260.51986000000,677933.74136800000
12/1/2011,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.00000000000,22.00000000000,se stott ln/se 43rd dr intersection,,90,7719315.18674000000,677932.64458600000
12/1/2011,GV,6.00000000000,Inline,Asphalt,926,Good,Working,Open,20.00000000000,24.00000000000,se stott ln/se 43rd dr intersection,,0,7719313.13819000000,677934.11407100000
8/13/2014,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,16.00000000000,Se jennifer ct,,60,7718746.53237000000,678257.30699400000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,18.00000000000,4259 se jennifer ct,,-5,7718811.89805000000,678102.04582200000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,36.00000000000,se swigert,,0,7716370.48036000000,694173.40508300000
8/13/2014,OTHER,0.00000000000,Fire,Asphalt,910,Good,Working,Open,36.00000000000,36.00000000000,se swigert,,0,7716371.17984000000,694176.02909300000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Closed,36.00000000000,36.00000000000,se swigert,,0,7716373.57649000000,694175.34274300000
8/13/2014,GV,10.00000000000,Inline,Asphalt,910,Good,Working,Open,34.00000000000,36.00000000000,se swigert,,90,7716373.01940000000,694172.82667200000
8/13/2014,GV,2.00000000000,Blow Off,Grass,910,Good,Working,Closed,8.00000000000,31.00000000000,se swigert,"unable to see from scan, used gps",90,7716373.25168000000,694133.22110800000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,24.00000000000,se swiggert far east hydrant valve,,90,7716346.47418000000,694173.47496500000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,27.00000000000,se swigert,,90,7715846.27898000000,694184.70132000000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,34.00000000000,38.00000000000,se swigert,,90,7715847.83115000000,694187.25643300000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,31.00000000000,se swigert,,90,7715317.13798000000,694197.49525800000
4/2/2012,GV,2.00000000000,Blow Off,Grass,910,Good,Working,Closed,8.00000000000,36.00000000000,se swigert,"unable to see from scan, used gps",90,7715297.50351000000,694155.22270500000
8/13/2014,BTRFLY,10.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,42.00000000000,se swigert,,0,7715300.42050000000,694197.65339400000
